GAME,DATE,time,field,bracket,ROUND,team,score
122,,3:00 PM,RHS #3,Green,3,Montgomery Revolution,
122,,3:00 PM,RHS #3,Green,3,Springfield Sizzle,
123,,3:00 PM,RHS #4,Green,3,Interboro Thunder,
123,,3:00 PM,RHS #4,Green,3,Haverford Lightning,
124,,3:00 PM,RHS #5,Green,3,Aston Fury,
124,,3:00 PM,RHS #5,Green,3,RUSC Dynamite,
125,,3:00 PM,RMS Lower,Green,3,Harford FC Lazers United,
125,,3:00 PM,RMS Lower,Green,3,RUSC Strikers,
126,,3:00 PM,Amosland,,3,RUSC Young Guns,
126,,3:00 PM,Amosland,,3,Aston Revolution,
127,,3:30 PM,Tinicum #3,Green,1,2nd Place Pool A,
127,,3:30 PM,Tinicum #3,Green,1,2nd Place Pool B,
128,,3:30 PM,RHS #6,,1,2nd Place Pool A,
128,,3:30 PM,RHS #6,,1,2nd Place Pool B,
129,,3:30 PM,RHS #1,White,1,2nd Place Pool A,
129,,3:30 PM,RHS #1,White,1,2nd Place Pool B,
130,,3:30 PM,RMS Upper,Green,2,2nd Place Pool A,
130,,3:30 PM,RMS Upper,Green,2,2nd Place Pool B,
131,,3:30 PM,RHS #2,Green,3,2nd Place Pool A,
131,,3:30 PM,RHS #2,Green,3,2nd Place Pool B,
132,,4:00 PM,Edgewood,Green,3,Haverford Red,
132,,4:00 PM,Edgewood,Green,3,Haverford Blackout,
133,,4:00 PM,Mann,Green,3,BYC Tigers,
133,,4:00 PM,Mann,Green,3,RUSC Rampage,
134,,4:00 PM,Catania Park #1,Green,3,FC York,
134,,4:00 PM,Catania Park #1,Green,5,BYC Strikers,
135,,4:00 PM,Catania Park #2,Green,3,Towamencin Titans,
135,,4:00 PM,Catania Park #2,Green,3,BYC Blue Sharks,
136,,4:00 PM,Tinicum #1,Green,3,Amity AC Storm,
136,,4:00 PM,Tinicum #1,Green,3,RUSC Rumble,
137,,4:00 PM,Tinicum #2,Green,3,Haverford Revolution,
137,,4:00 PM,Tinicum #2,Green,3,Springfield Sharks,
138,,4:00 PM,RHS #3,White,3,Blue White '10 SC Panthers,
138,,4:00 PM,RHS #3,White,3,Lower Merion Fear,
139,,4:00 PM,RHS #4,White,3,Haverford Red Flash,
139,,4:00 PM,RHS #4,White,3,RUSC Revolution,
140,,4:00 PM,RHS #5,Green,3,BYC Spartaks,
140,,4:00 PM,RHS #5,Green,3,FC York 99 Elite,
141,,4:00 PM,RMS Lower,Green,3,BYC Galaxy,
141,,4:00 PM,RMS Lower,Green,3,West Mont United Union,
142,,4:00 PM,Amosland,,3,Rose Tree Strikers,
142,,4:00 PM,Amosland,,3,Towamencin Thrashers,
143,,4:30 PM,Tinicum #3,Green,1,1st Place Pool A,
143,,4:30 PM,Tinicum #3,Green,1,1st Place Pool B,
144,,4:30 PM,RHS #6,,1,1st Place Pool A,
144,,4:30 PM,RHS #6,,1,1st Place Pool B,
145,,4:30 PM,RHS #1,White,1,1st Place Pool A,
145,,4:30 PM,RHS #1,White,1,1st Place Pool B,
146,,4:30 PM,RMS Upper,Green,2,1st Place Pool A,
146,,4:30 PM,RMS Upper,Green,2,1st Place Pool B,
147,,4:30 PM,RHS #2,Green,3,1st Place Pool A,
147,,4:30 PM,RHS #2,Green,3,1st Place Pool B,
