Chester County Lacrosse Association,,,,,,,,
Spring 2013 Master Schedule (final version released 3/9/13 7:00PM),,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,
,,,,,,,,
ABG = Abington,,CVL = Collegeville,,,PHX = Phoenixville,,,
ASH = Ashbee,,GV = Great Valley,,,ST = Conestoga,,,
AVG = Avon Grove,,KEN = Kennett,,,UNV = Unionville,,,
BYC = Brandywine,,LV = Lionville,,,WB = West Bradford/Downingtown MS,,,
COV = Coventry,,,,,WC = West Chester,,,
,,,,click arrow to,,,, filter for team
,,,,filter for level,,,," ""text filter contains"""
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team
388,4/13/13,Sat,2:00 PM,U13B,WC1,ABG,ABG Huntingdon Upper,WC1ABG
512,4/13/13,Sat,2:00 PM,U11B,COV1,ASH,ASH Lower Merion HS,COV1ASH
150,4/13/13,Sat,4:00 PM,U11A,UNV,ASH,ASH Lower Merion HS,UNVASH
159,4/13/13,Sat,12:00 PM,U11A,ST,AVG,AVG Avon Grove HS 1,STAVG
241,4/13/13,Sat,2:00 PM,U13C,LV2,AVG1,AVG Avon Grove HS 1,LV2AVG1
58,4/13/13,Sat,10:00 AM,U15A,GV,AVG,AVG Avon Grove HS 2,GVAVG
337,4/13/13,Sat,12:00 PM,U15B,WC2,AVG,AVG Avon Grove HS 2,WC2AVG
236,4/13/13,Sat,2:00 PM,U13C,LV1,AVG2,AVG Avon Grove HS 2,LV1AVG2
219,4/13/13,Sat,12:00 PM,U13C,ASH,BYC,BYC Concord Municipal 1,ASHBYC
565,4/13/13,Sat,10:00 AM,U11B,GV1,BYC2,BYC Concord Municipal 2,GV1BYC2
173,4/13/13,Sat,2:00 PM,U11A,WC2,BYC,BYC Concord Municipal 2,WC2BYC
612,4/13/13,Sat,4:00 PM,U11B,UNV,BYC1,BYC Concord Municipal 2,UNVBYC1
115,4/13/13,Sat,10:00 AM,U13A,GV,BYC,BYC Garnet Valley MS,GVBYC
453,4/13/13,Sat,12:00 PM,U13B,AVG1,BYC2,BYC Garnet Valley MS,AVG1BYC2
78,4/13/13,Sat,10:00 AM,U13A,UNV1,COV,COV Batdorf Park,UNV1COV
