Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
2013001764,04/18/2015,1:30 PM,3:00 PM,Spring-Ford B3,Brooke Elementary School,Game,Crooked Crosse B3,,,,,3768275,,
2013001735,04/18/2015,1:30 PM,3:00 PM,Lower Bucks White B3,William Penn Middle Scho,Game,North Penn B3,,,,,3768251,,
,04/18/2015,1:30 PM,3:00 PM,Ridley B1,Ridley Municipal Park,Game,Haven B1,,,,,3768904,,
2013001671,04/18/2015,1:30 PM,3:00 PM,Deep Run B2,Deep Run,Game,Council Rock B2,,,,,3768196,,
2013001847,04/18/2015,1:30 PM,3:00 PM,Boyertown B3,Boyertown,Game,Warriors White B3,,,,,3768598,,
,04/18/2015,1:45 PM,3:15 PM,Ashbee A3,Shipley Farms 1,Game,Marple Newtown A3,,,,,3761667,,
,04/18/2015,2:15 PM,3:45 PM,Haverford A3,Haverford High School,Game,Haven A3,,,,,3761670,,
2013001856,04/18/2015,3:00 PM,4:30 PM,Boyertown B2,Boyertown,Game,Warriors B2,,,,,3768608,,
,04/18/2015,3:15 PM,4:30 PM,Ridley C2 White,Ridley Municipal Park,Game,Marple Newtown C2,,,,,3771224,,
2013001557,04/18/2015,3:30 PM,5:00 PM,Calvary A3,Calvary AA,Game,Wissahickon A3,,,,,3768086,,
2013001162,04/19/2015,9:30 AM,11:00 AM,Spring-Ford B1A,Brooke Elementary,Game,Haverford B1A,,,,,3763191,,
2013001315,04/19/2015,10:30 AM,12:00 PM,CBAA B1,CBAA 2,Game,Horsham B1,,,,,3770140,,
2013001627,04/19/2015,10:30 AM,12:00 PM,CBAA B1,CBAA 2,Game,Horsham B1,,,,,3768156,,
2013001821,04/19/2015,10:30 AM,12:00 PM,CBAA B1,CBAA 2,Game,Horsham B1,,,,,3770141,,
2013001127,04/19/2015,10:30 AM,12:00 PM,Boyertown B1A,Boyertown,Game,Ashbee B1A,,,,,3763156,,
2013001076,04/19/2015,10:30 AM,12:00 PM,Council Rock A1A,Newtown Elementary,Game,Crooked Crosse A1A,,,,,3750106,,
2013001714,04/19/2015,11:00 AM,12:30 PM,Crooked Crosse B3,CCLC,Game,North Penn B3,,,,,3768230,,
2013001255,04/19/2015,12:00 PM,1:30 PM,Warriors A3,Newtown Elementary,Game,Council Rock  A3,,,,,3767816,,
2013001297,04/19/2015,12:00 PM,1:30 PM,Upper Moreland A3,Nathaniel Boileau Park,Game,Horsham A3,,,,,3767858,,
2013001165,04/19/2015,12:00 PM,1:30 PM,Wissahickon B1A,Wissahickon,Game,Springfield B1A,,,,,3763194,,
2013001142,04/19/2015,12:00 PM,1:30 PM,Moorestown B1A,Moorestown,Game,CBAA B1A,,,,,3770164,,
2013001725,04/19/2015,12:00 PM,1:30 PM,Lansing B3,Abraham Lincoln High Sch,Game,CBAA B3,,,,,3768241,,
2013001153,04/19/2015,12:00 PM,1:30 PM,Rose Tree B1A,Penncrest  HS Field 9,Game,Crooked Crosse B1A,,,,,3763182,,
2013001146,04/19/2015,12:00 PM,1:30 PM,Perkiomen Valley B1A,Perk Valley MS west,Game,Radnor B1A,,,,,3763175,,
