Date,Start,Finish,Team,Facility,Type,Opponent,DB ID
6/6/15,11:45 AM,1:00 PM,Girls U15 A>ORYA Red,little river park,Game,Girls U15 A>Hampton Lacrosse - Red,5182963
6/6/15,12:00 PM,1:15 PM,Boys U13 B1>Salem Snipers,Salem HS,Game,Boys U13 B1>Hampstead,5200209
6/6/15,1:00 PM,2:15 PM,Boys U9 B>Rattlers U9 Maroon,East Road Fields,Game,Boys U9 B>Derry U9B - White,5208230
6/6/15,1:00 PM,2:15 PM,Boys U13 C>Hampton Lacrosse - Warriors,North Hampton School,Game,Boys U13 C>Hudson Hawks,5211086
6/6/15,2:00 PM,3:15 PM,Boys U9 B>Antrim U9 Boys,Shea Field,Game,Boys U9 B>Hampstead Red,5208143
6/6/15,2:15 PM,3:30 PM,Boys U13 C>Rattlers U13C,East Road Fields,Game,Boys U13 C>Concord Crush White,5211091
6/7/15,8:00 AM,9:15 AM,Girls U13 B>Merrimack Valley Blue Storm,Penacook Elem,Game,Girls U13 B>Derry,5183068
6/7/15,8:00 AM,9:15 AM,Boys U13 B1>Londonderry Boys U13 Hawks,West Road Field #1,Game,Boys U13 B1>Hollis Brookline,5200222
6/7/15,8:00 AM,9:15 AM,Boys U13 B2>Peterborough,ConVal HS JV Field,Game,Boys U13 B2>Cocheco,5194159
6/7/15,8:00 AM,9:15 AM,Girls U9 B>Londonderry Girls U9 Vipers,Lincoln Field,Game,Girls U9 B>Lakes Region Lacrosse Club,5187824
6/7/15,8:00 AM,9:15 AM,Boys U15 C>Litchfield U15,LLA - Sawmill Brook,Game,Boys U15 C>Lakes Region Lacrosse Club,5200365
6/7/15,8:00 AM,9:15 AM,Boys U11 C>Windham U11C,Griffin Park,Game,Boys U11 C>Cocheco,5200940
6/7/15,8:00 AM,9:15 AM,Boys U13 B2>Abenaki-Wolfeboro,The Nick,Game,Boys U13 B2>Windham U13B ,5194162
6/7/15,8:00 AM,9:15 AM,Boys U9 A>Amherst U9A - Black,Middle Bean,Game,Boys U9 A>Windham U9 Cornell,5187877
6/7/15,8:00 AM,9:15 AM,Girls U13 A>Amherst U13A - Gold,Lower Bean,Game,Girls U13 A>Windham U13 Duke,5183107
6/7/15,8:00 AM,9:15 AM,Girls U13 B>Hopkinton U13 Girls,Houston Field #3,Game,Girls U13 B>CONVAL LYNX,5183062
6/7/15,8:00 AM,9:15 AM,Girls U9 B>Londonderry U9 Cobras,Lincoln Field,Game,Girls U9 B>JSG U9G,5187826
6/7/15,8:00 AM,9:15 AM,Girls U15 B>Londonderry Girls U15,West Road Field #2,Game,Girls U15 B>Hollis Brookline,5182930
6/7/15,8:00 AM,9:15 AM,Boys U13 B1>Keene Crush Orange,Keene HS,Game,Boys U13 B1>JSG U13B,5200218
6/7/15,8:00 AM,9:15 AM,Boys U15 B>JSG U15B,Bolton Field,Game,Boys U15 B>Hooksett,5200316
6/7/15,8:00 AM,9:15 AM,Girls U15 B>Abenaki-Wolfeboro,The Nick,Game,Girls U15 B>Plymouth Youth Lacrosse,5182925
6/7/15,8:00 AM,9:15 AM,Boys U13 B1>ORYA White,little river park,Game,Boys U13 B1>Hampstead,5200225
6/7/15,8:00 AM,9:15 AM,Girls U15 B>MYL Girls U15B Junior Tomahawks,Bishop,Game,Girls U15 B>Hanover,5182932
6/7/15,8:00 AM,9:15 AM,Boys U15 B>Laconia Sachems,Laconia HS,Game,Boys U15 B>Hanover,5200320
6/7/15,8:00 AM,9:15 AM,Boys U15 C>MPAL U15 Blue,Memorial HS,Game,Boys U15 C>Hanover,5200364
6/7/15,8:00 AM,9:15 AM,Boys U13 B2>MYL Boys U13B Junior Tomahawks,Reeds Ferry 3,Game,Boys U13 B2>Concord Crush Black,5194161
6/7/15,8:00 AM,9:15 AM,Boys U15 B>Peterborough,Dublin School,Game,Boys U15 B>Concord Crush Orange,5200317
6/7/15,8:00 AM,9:15 AM,Boys U13 B1>Rattlers U13B1,East Road Fields,Game,Boys U13 B1>Exeter,5200223
6/7/15,8:00 AM,9:15 AM,Boys U13 C>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U13 C>Derry U13C,5211102
6/7/15,8:00 AM,9:15 AM,Girls U15 A>Windham U15 Cornell,Nashua Road,Game,Girls U15 A>Bedford,5182970
6/7/15,8:00 AM,9:15 AM,Boys U15 B>Nashua,Stellos Stadium,Game,Boys U15 B>Goffstown,5200312
6/7/15,8:00 AM,9:15 AM,Girls U9 B>Windham U9 Harvard,Searles School,Game,Girls U9 B>Amherst U9B - Gold,5187825
6/7/15,8:00 AM,9:15 AM,Boys U15 C>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U15 C>Bedford,5200366
6/7/15,8:00 AM,9:15 AM,Girls U9 B>MPAL U9 Blue,Houston Field #1,Game,Girls U9 B>Hopkinton U9 Girls,5187828
6/7/15,9:00 AM,10:15 AM,Boys U13 A>Pelham Outlaws,Muldoon Park,Game,Boys U13 A>Concord Crush Orange,5187286
6/7/15,9:00 AM,10:15 AM,Boys U11 A>Hampstead,Depot Road Field,Game,Boys U11 A>Exeter - Blue,5182684
6/7/15,9:00 AM,10:15 AM,Girls U9 B>MPAL U9 White,Phanzone,Game,Girls U9 B>Hampstead,5187830
6/7/15,9:00 AM,9:55 AM,Boys U11 C>Hudson Hawks White,Presentation of Mary,Game,Boys U11 C>Hampstead,5200941
6/7/15,9:00 AM,10:15 AM,Boys U9 B>Salem Snipers,Walmart Field,Game,Boys U9 B>Black Bear,5208261
6/7/15,9:15 AM,10:30 AM,Boys U13 C>Rattlers U13C,East Road Fields,Game,Boys U13 C>Black Bear,5211101
6/7/15,9:15 AM,10:30 AM,Girls U11 B>Merrimack Valley Blue Storm,Penacook Elem,Game,Girls U11 B>Derry,5183183
6/7/15,9:15 AM,10:30 AM,Boys U9 B>Windham U9 Navy,Searles School,Game,Boys U9 B>Antrim U9 Boys,5208259
6/7/15,9:15 AM,10:30 AM,Boys U13 B2>Litchfield U13,LLA - Sawmill Brook,Game,Boys U13 B2>Laconia Sachems,5194163
6/7/15,9:15 AM,10:30 AM,Girls U11 B>Amherst U11B - Black,Lower Bean,Game,Girls U11 B>Windham U11 Syracuse,5183175
6/7/15,9:15 AM,10:30 AM,Girls U9 B>Amherst U9B - Black,Middle Bean,Game,Girls U9 B>Windham U9 Yale,5187823
6/7/15,9:15 AM,10:30 AM,Girls U13 B>Abenaki-Wolfeboro,The Nick,Game,Girls U13 B>Windham U13 Virginia,5183061
6/7/15,9:15 AM,10:30 AM,Boys U13 A>Amherst U13A - Gold,Souhegan HS,Game,Boys U13 A>Windham U13A,5187288
6/7/15,9:15 AM,10:30 AM,Boys U13 A>Nashua - White,Stellos Stadium,Game,Boys U13 A>Goffstown,5187285
6/7/15,9:15 AM,10:30 AM,Girls U13 A>Londonderry Girls U13,West Road Field #2,Game,Girls U13 A>Hampstead,5183110
6/7/15,9:15 AM,10:30 AM,Boys U11 B2>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U11 B2>Londonderry Boys U11 Huskies,5201008
6/7/15,9:15 AM,10:30 AM,Boys U13 A>Londonderry Boys U13 Falcons,West Road Field #1,Game,Boys U13 A>Hooksett,5187289
6/7/15,9:15 AM,10:30 AM,Boys U11 B2>MYL Boys U11B Junior Tomahawks,Reeds 4,Game,Boys U11 B2>Hooksett,5201005
6/7/15,9:15 AM,10:30 AM,Boys U9 B>Londonderry Boys U9 Jaguars,Lincoln Field,Game,Boys U9 B>Keene Crush,5208262
6/7/15,9:15 AM,10:30 AM,Boys U13 B2>MPAL U13 Blue,Memorial HS,Game,Boys U13 B2>Exeter,5194160
6/7/15,9:15 AM,10:30 AM,Girls U13 B>MYL Girls U13B Junior Tomahawks,Bishop,Game,Girls U13 B>Concord Crush Orange,5183060
6/7/15,9:15 AM,10:30 AM,Boys U13 B2>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U13 B2>Bow,5194157
6/7/15,9:15 AM,10:30 AM,Boys U13 A>ORYA Red,little river park,Game,Boys U13 A>Derry U13A,5187287
6/7/15,9:15 AM,10:30 AM,Boys U11 B2>Peterborough,ConVal HS JV Field,Game,Boys U11 B2>Goffstown Maroon,5201007
6/7/15,9:30 AM,10:45 AM,Boys U15 B>Keene Crush,Keene HS,Game,Boys U15 B>Hollis Brookline,5200318
6/7/15,10:00 AM,11:15 AM,Boys U15 B>Black Bear,Portsmouth High,Game,Boys U15 B>Seacoast,5200313
6/7/15,10:00 AM,11:15 AM,Boys U11 B1>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U11 B1>Hopkinton U11 Boys,5187443
6/7/15,10:00 AM,10:55 AM,Boys U13 C>Hudson Hawks,Presentation of Mary,Game,Boys U13 C>Exeter,5211100
6/7/15,10:00 AM,11:15 AM,Girls U11 A>Seacoast - Roelofs,Portsmouth High,Game,Girls U11 A>Exeter,5183220
6/7/15,10:15 AM,11:30 AM,Girls U13 B>Keene Crush,Keene HS girls field,Game,Girls U13 B>Exeter,5183066
6/7/15,10:15 AM,11:30 AM,Boys U9 A>Pelham Outlaws,Muldoon Park U9 Field,Game,Boys U9 A>Bedford,5187875
6/7/15,10:15 AM,11:30 AM,Boys U11 B1>Pelham Outlaws,Muldoon Park,Game,Boys U11 B1>Derry U11B1,5187448
6/7/15,10:30 AM,11:45 AM,Boys U11 C>Nashua - White,Pennichuck MS,Game,Boys U11 C>Derry U11C,5200944
6/7/15,10:30 AM,11:45 AM,Girls U11 B>MYL Girls U11B Junior Tomahawks,Bishop,Game,Girls U11 B>Bow,5183179
6/7/15,10:30 AM,11:45 AM,Boys U15 B>Rattlers U15B,East Road Fields,Game,Boys U15 B>Bow,5200315
6/7/15,10:30 AM,11:45 AM,Boys U9 A>Nashua - Purple,Fairgrounds JrH,Game,Boys U9 A>Concord Crush Orange,5187876
6/7/15,10:30 AM,11:45 AM,Boys U11 A>Londonderry Boys U11 Razors,West Road Field #1,Game,Boys U11 A>Concord Crush Orange,5182686
6/7/15,10:30 AM,11:45 AM,Boys U11 B2>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U11 B2>Goffstown Hansen,5201006
6/7/15,10:30 AM,11:45 AM,Girls U13 B>JSG U13G,Bolton Field,Game,Girls U13 B>Goffstown,5183064
6/7/15,10:30 AM,11:45 AM,Boys U11 C>Litchfield U11,LLA - Sawmill Brook,Game,Boys U11 C>Exeter - White,5200943
6/7/15,10:30 AM,11:45 AM,Boys U13 B1>Nashua - Purple,Stellos Stadium,Game,Boys U13 B1>Hampton Lacrosse - Rip Tide,5200224
6/7/15,10:30 AM,11:45 AM,Boys U11 B1>ORYA White,little river park,Game,Boys U11 B1>Hampton Lacrosse - Hounds,5187444
6/7/15,10:30 AM,11:45 AM,Boys U9 B>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U9 B>Hudson Hawks White,5208264
6/7/15,10:30 AM,11:45 AM,Girls U11 A>Londonderry U11 Girls,West Road Field #2,Game,Girls U11 A>Hollis Brookline,5183222
6/7/15,10:30 AM,11:45 AM,Boys U11 B1>Londonderry Boys U11 Lynx,L'Derry Middle School,Game,Boys U11 B1>Hollis Brookline,5187445
6/7/15,10:30 AM,11:45 AM,Boys U11 A>Amherst U11A - Gold,Souhegan HS,Game,Boys U11 A>Windham U11A,5182683
6/7/15,10:30 AM,11:45 AM,Boys U11 C>MPAL U11 Blue,Memorial HS,Game,Boys U11 C>Exeter - Grey,5200945
6/7/15,10:30 AM,11:45 AM,Girls U11 A>Amherst U11A - Gold,Lower Bean,Game,Girls U11 A>Windham U11 Hopkins,5183221
6/7/15,10:45 AM,12:00 PM,Boys U13 C>Salem,Salem HS,Game,Boys U13 C>Bedford,5211099
6/7/15,11:00 AM,11:55 AM,Boys U15 B>Hudson Hawks Maroon,Presentation of Mary,Game,Boys U15 B>Hopkinton U15 Boys,5200314
6/7/15,11:00 AM,12:15 PM,Boys U9 A>Milford U9A - Blue,N. River Road Field,Game,Boys U9 A>JSG U9 Boys,5187878
6/7/15,11:15 AM,12:30 PM,Boys U13 B1>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U13 B1>Hopkinton U13 Boys,5200220
6/7/15,11:15 AM,12:30 PM,Boys U11 A>Seacoast,Portsmouth High,Game,Boys U11 A>Bedford,5182685
6/7/15,11:15 AM,12:30 PM,Girls U15 A>Seacoast,Portsmouth High,Game,Girls U15 A>Concord Crush Orange,5182972
6/7/15,11:30 AM,12:45 PM,Boys U15 B>Pelham Outlaws,Muldoon Park,Game,Boys U15 B>Derry U15B,5200319
6/7/15,11:30 AM,12:45 PM,Boys U9 B>Pelham Outlaws,Muldoon Park U9 Field,Game,Boys U9 B>Hampstead White,5208234
6/7/15,11:30 AM,12:45 PM,Boys U11 B1>Keene Crush Orange,Keene HS,Game,Boys U11 B1>JSG U11B,5187447
6/7/15,11:45 AM,1:00 PM,Girls U11 B>Keene Crush,Keene HS girls field,Game,Girls U11 B>Hollis Brookline,5183178
6/7/15,11:45 AM,1:00 PM,Girls U15 B>Laconia Sachems,Laconia HS,Game,Girls U15 B>JSG U15G,5182926
6/7/15,11:45 AM,1:00 PM,Boys U9 B>Londonderry Boys U9 Cougars,West Road Field #1,Game,Boys U9 B>Laconia Sachems,5208260
6/7/15,11:45 AM,1:00 PM,Boys U11 B2>MPAL U11 White,Memorial HS,Game,Boys U11 B2>Laconia Sachems,5201003
6/7/15,11:45 AM,1:00 PM,Girls U9 B>MYL Girls U9B Junior Tomahawks,Reeds 4,Game,Girls U9 B>Derry,5187822
6/7/15,11:45 AM,1:00 PM,Boys U9 B>Litchfield U9,LLA - Sawmill Brook,Game,Boys U9 B>Lakes Region Lacrosse Club,5208258
6/7/15,11:45 AM,1:00 PM,Girls U15 B>Peterborough,Dublin School,Game,Girls U15 B>Cocheco,5182927
6/7/15,11:45 AM,1:00 PM,Boys U11 A>Nashua - Purple,Pennichuck MS,Game,Boys U11 A>Cocheco,5182682
6/7/15,11:45 AM,1:00 PM,Girls U15 B>ORYA White,little river park,Game,Girls U15 B>Hampstead,5182931
6/7/15,11:45 AM,1:00 PM,Boys U13 C>Nashua - Black,Stellos Stadium,Game,Boys U13 C>Concord Crush White,5211104
6/7/15,11:45 AM,1:00 PM,Girls U13 B>Plymouth Youth Lacrosse,Bridge Road,Game,Girls U13 B>Bedford,5183065
6/7/15,11:45 AM,1:00 PM,Girls U9 B>Nashua - Purple,Fairgrounds JrH,Game,Girls U9 B>Concord Crush Orange,5187831
6/7/15,11:45 AM,1:00 PM,Boys U11 C>Rattlers U11 White,East Road Fields,Game,Boys U11 C>Concord Crush White,5200942
6/7/15,11:45 AM,1:00 PM,Girls U11 B>JSG U11G,Bolton Field,Game,Girls U11 B>Hopkinton U11 Girls,5183176
6/7/15,12:00 PM,1:15 PM,Girls U15 A>Hampton Lacrosse - Red,Winnacunnet High School ,Game,Girls U15 A>Exeter,5182969
6/7/15,12:00 PM,1:15 PM,Boys U13 B1>Salem Snipers,Salem HS,Game,Boys U13 B1>Cocheco,5200221
6/7/15,12:30 PM,1:45 PM,Girls U11 A>Seacoast - Smith,Portsmouth High,Game,Girls U11 A>Concord Crush Orange,5183223
6/7/15,12:30 PM,1:45 PM,Girls U11 B>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Girls U11 B>Goffstown,5183182
6/7/15,12:30 PM,1:45 PM,Boys U13 A>Seacoast,Portsmouth High,Game,Boys U13 A>Bedford,5187290
6/7/15,12:45 PM,2:00 PM,Girls U9 B>Pelham Lady Outlaws,Muldoon Park U9 Field,Game,Girls U9 B>Bow,5187827
6/7/15,12:45 PM,2:00 PM,Boys U13 C>Pelham Outlaws,Muldoon Park,Game,Boys U13 C>Cocheco,5211103
6/7/15,1:00 PM,2:15 PM,Girls U15 A>ORYA Red,little river park,Game,Girls U15 A>Derry,5182971
6/7/15,1:00 PM,2:15 PM,Boys U9 B>Rattlers U9 White,East Road Fields,Game,Boys U9 B>Bow,5208263
6/7/15,1:00 PM,2:15 PM,Girls U9 B>Nashua - White,Fairgrounds JrH,Game,Girls U9 B>Concord Crush Black,5187829
6/7/15,1:00 PM,2:15 PM,Girls U11 B>Laconia Sachems,Laconia HS,Game,Girls U11 B>Hampton Lacrosse - Green,5183180
6/7/15,1:00 PM,2:15 PM,Boys U11 C>Hudson Hawks Maroon,North Hampton School,Game,Boys U11 C>Hampton Lacrosse - White,5200946
6/7/15,1:00 PM,2:15 PM,Girls U15 B>Nashua,Stellos Stadium,Game,Girls U15 B>Hampton Lacrosse -White,5182933
6/7/15,1:00 PM,2:15 PM,Boys U15 C>MYL Boys U15B Junior Tomahawks,Reeds 4,Game,Boys U15 C>Cocheco,5200363
6/7/15,1:30 PM,2:45 PM,Boys U11 B1>Bow,Gosling Field,Game,Boys U11 B1>Salem Snipers,5187446
6/7/15,1:45 PM,3:00 PM,Girls U13 A>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Girls U13 A>Hollis Brookline,5183108
6/7/15,1:45 PM,3:00 PM,Boys U11 B2>Seacoast,Portsmouth High,Game,Boys U11 B2>Bedford,5201002
6/7/15,1:45 PM,3:00 PM,Girls U13 A>Seacoast,Portsmouth High,Game,Girls U13 A>Bedford,5183109
6/7/15,2:00 PM,3:15 PM,Girls U13 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U13 B>Black Bear,5183067
6/7/15,2:15 PM,3:30 PM,Girls U11 A>Nashua ,Stellos Stadium,Game,Girls U11 A>Hampstead,5183224
6/7/15,2:15 PM,3:30 PM,Boys U13 B2>Londonderry Boys U13 Ravens,West Road Field #1,Game,Boys U13 B2>Hooksett,5194158
6/7/15,2:15 PM,3:30 PM,Boys U9 B>Rattlers U9 Maroon,East Road Fields,Game,Boys U9 B>Concord Crush Black,5208265
6/7/15,2:15 PM,3:30 PM,Girls U13 B>ORYA White,little river park,Game,Girls U13 B>Bow,5183069
6/7/15,2:15 PM,3:30 PM,Boys U13 C>Hampton Lacrosse - Warriors,North Hampton School,Game,Boys U13 C>Goffstown,5211105
6/7/15,3:00 PM,4:15 PM,Girls U13 B>Seacoast,Portsmouth High,Game,Girls U13 B>Amherst U13B - Black,5183063
6/7/15,3:00 PM,4:15 PM,Girls U15 B>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Girls U15 B>Hopkinton U15 Girls,5182928
6/7/15,3:00 PM,4:15 PM,Boys U13 B1>Seacoast,Portsmouth High,Game,Boys U13 B1>Bedford,5200219
6/7/15,3:15 PM,4:30 PM,Girls U11 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U11 B>Bedford,5183177
6/7/15,3:30 PM,4:45 PM,Boys U9 A>MPAL U9 Blue,Memorial HS,Game,Boys U9 A>Derry U9A,5187874
6/7/15,3:30 PM,4:45 PM,Boys U9 A>Rattlers U9 Black,East Road Fields,Game,Boys U9 A>Amherst U9A - Gold,5187879
6/7/15,3:30 PM,4:45 PM,Boys U15 B>ORYA Red,little river park,Game,Boys U15 B>Exeter,5200321
6/7/15,3:30 PM,4:45 PM,Girls U13 B>Nashua - White,Stellos Stadium,Game,Girls U13 B>Cocheco,5183059
6/7/15,4:30 PM,5:45 PM,Girls U15 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U15 B>Goffstown,5182929
6/7/15,4:45 PM,6:00 PM,Girls U13 A>Nashua - Purple,Stellos Stadium,Game,Girls U13 A>Exeter,5183106
6/7/15,4:45 PM,6:00 PM,Boys U15 B>Londonderry Boys U15 Warriors,West Road Field #1,Game,Boys U15 B>Hampton Lacrosse - Hounds ,5200311
6/7/15,4:45 PM,6:00 PM,Girls U13 B>MPAL U13,Memorial HS,Game,Girls U13 B>Hampton Lacrosse - Blue,5183058
6/7/15,4:45 PM,6:00 PM,Boys U11 B2>Rattlers U11 Maroon,East Road Fields,Game,Boys U11 B2>Concord Crush Black,5201004
6/7/15,6:00 PM,7:15 PM,Girls U11 B>MPAL U11 Blue,Memorial HS,Game,Girls U11 B>Concord Crush Black,5183181
6/7/15,6:00 PM,7:15 PM,Boys U15 C>Londonderry Boys U15 Wolves,West Road Field #1,Game,Boys U15 C>Hudson Hawks White,5200367
