Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
77,07/20/2013,10:30 AM,23,VARB-1,2,BLACK BEAR BLUE (PA),6,5,,,,35221
77,07/20/2013,10:30 AM,23,VARB-1,2,BROTHERHOOD VARSITY (NJ),8,5,,,,35222
78,07/20/2013,10:30 AM,24,VARB-1,2,GREEN & GOLD VARSITY (NJ),8,5,,,,35223
78,07/20/2013,10:30 AM,24,VARB-1,2,TRUE PITTSBURGH 2015 (PA),2,5,,,,35224
79,07/20/2013,10:30 AM,25,U13B-3 & 4,2,TRI-STATE U13 GREEN (NJ),4,5,,,,35225
79,07/20/2013,10:30 AM,25,U13B-3 & 4,2,TRUE PITTSBURGH U13 (PA),3,5,,,,35226
80,07/20/2013,10:30 AM,26,U13B-3 & 4,2,NJ DIESEL ELITE U13 (NJ),2,5,,,,35227
80,07/20/2013,10:30 AM,26,U13B-3 & 4,2,NOVA WEST LACROSSE (VA),3,5,,,,35228
81,07/20/2013,10:30 AM,27,U13B-3 & 4,2,BLACK DOG LEGACY (PA),7,5,,,,35229
81,07/20/2013,10:30 AM,27,U13B-3 & 4,2,LAX IN THE HAT (PA),1,5,,,,35230
82,07/20/2013,11:20 AM,1,U15B-2 & 3,2,NJ DIESEL ELITE U15 (NJ),5,5,,,,35231
82,07/20/2013,11:20 AM,1,U15B-2 & 3,2,STEPS 2018 7TH GRADE (NJ),6,5,,,,35232
83,07/20/2013,11:20 AM,2,U15B-2 & 3,2,LEADING EDGE SOUTH (NJ),3,4,,,,35233
83,07/20/2013,11:20 AM,2,U15B-2 & 3,2,ROCK'EM LACROSSE (PA),5,4,,,,35234
84,07/20/2013,11:20 AM,3,U15B-2 & 3,2,TEAM 91 2017 NAVY (NY),4,5,,,,35235
84,07/20/2013,11:20 AM,3,U15B-2 & 3,2,380 LACROSSE U-15 BLACK (PA),11,5,,,,35236
85,07/20/2013,11:20 AM,4,U11B-1,2,BUCKS SELECT 2021-PARKER (PA),8,5,,,,35237
85,07/20/2013,11:20 AM,4,U11B-1,2,LAXZILLA (PA),4,5,,,,35238
86,07/20/2013,11:20 AM,5,U11B-1,2,LV LIGHTNING (PA),4,5,,,,35239
86,07/20/2013,11:20 AM,5,U11B-1,2,LOONEY'S 2021 ORANGE (MD),3,5,,,,35240
87,07/20/2013,11:20 AM,6,U11B-1,2,TRI-STATE U11 GREEN (NJ),7,2,,,,35241
87,07/20/2013,11:20 AM,6,U11B-1,2,BLACK DOG LEGACY (PA),6,2,,,,35242
88,07/20/2013,11:20 AM,7,U11B-1,2,HIGHLAND MILLS HAWKS (NY),8,4,,,,35243
88,07/20/2013,11:20 AM,7,U11B-1,2,LEHIGH VALLEY STEAM GOLD (PA),1,4,,,,35244
89,07/20/2013,11:20 AM,8,U11B-1,2,SF LITTLE HORNS (PA),1,5,,,,35245
89,07/20/2013,11:20 AM,8,U11B-1,2,MAKE-A-WISH (CT),10,5,,,,35246
90,07/20/2013,11:20 AM,9,U15AA,2,HEADSTRONG WHITE (PA),7,5,,,,35247
90,07/20/2013,11:20 AM,9,U15AA,2,NOVA WEST LACROSSE (VA),6,5,,,,35248
91,07/20/2013,11:20 AM,10,U15AA,2,BBL ELITE 2017 BLACK (NJ),5,5,,,,35249
91,07/20/2013,11:20 AM,10,U15AA,2,TRISTATE BLACK (NJ),2,5,,,,35250
92,07/20/2013,11:20 AM,11,U15AA,2,LEADING EDGE 2017 (NJ),7,4,,,,35251
92,07/20/2013,11:20 AM,11,U15AA,2,STEPS FUTURES 2017 (NJ),8,4,,,,35252
93,07/20/2013,11:20 AM,12,U15AA,2,DUKES HHH (PA),9,5,,,,35253
93,07/20/2013,11:20 AM,12,U15AA,2,WARD MELVILLE 2017 (NY),3,5,,,,35254
94,07/20/2013,11:20 AM,13,JVB-2,2,SOUTH JERSEY UNITED (NJ),11,5,,,,35255
94,07/20/2013,11:20 AM,13,JVB-2,2,BUFFALO RISING FRESHMAN (NY),1,5,,,,35256
95,07/20/2013,11:20 AM,14,JVB-2,2,TEAM SMITHTOWN (NY),6,5,,,,35257
95,07/20/2013,11:20 AM,14,JVB-2,2,VA LAX TEAM RECON (VA),3,5,,,,35258
96,07/20/2013,11:20 AM,15,JVB-2,2,LV LIGHTNING SELECT WHITE (PA),4,5,,,,35259
96,07/20/2013,11:20 AM,15,JVB-2,2,CBW WOLVERINES (PA),3,5,,,,35260
97,07/20/2013,11:20 AM,16,JVB-2,2,ROCK'EM LACROSSE (PA),2,4,,,,35261
97,07/20/2013,11:20 AM,16,JVB-2,2,TEAM 91 2016 WHITE (NY),4,4,,,,35262
98,07/20/2013,11:20 AM,17,JVB-2,2,TRUE BLUE 2016 WHITE (NY),3,2,,,,35263
98,07/20/2013,11:20 AM,17,JVB-2,2,BLACK DOG LEGACY (PA),4,4,,,,35264
99,07/20/2013,11:20 AM,18,VARA-1 & 2,2,DIRTY BIRDS (GA),5,5,,,,35265
99,07/20/2013,11:20 AM,18,VARA-1 & 2,2,DIP N DUNK (NY),4,5,,,,35266
100,07/20/2013,11:20 AM,19,VARA-1 & 2,2,2014 PHILA FREEDOM (PA),8,5,,,,35267
100,07/20/2013,11:20 AM,19,VARA-1 & 2,2,EMMAUS STING (PA),5,5,,,,35268
101,07/20/2013,11:20 AM,20,VARA-1 & 2,2,CASH COWS ELITE (MI),7,5,,,,35269
101,07/20/2013,11:20 AM,20,VARA-1 & 2,2,BLACK BEAR ORANGE (PA),4,5,,,,35270
102,07/20/2013,11:20 AM,21,VARA-1 & 2,2,BALTIMORE CANNONS (MD),5,5,,,,35271
102,07/20/2013,11:20 AM,21,VARA-1 & 2,2,LOW & AWAY U19 PREMIER (PA),11,5,,,,35272
103,07/20/2013,11:20 AM,22,VARA-1 & 2,2,TAR HEEL LC (NC),10,5,,,,35273
103,07/20/2013,11:20 AM,22,VARA-1 & 2,2,TRUE PITTSBURGH 2014 (PA),3,5,,,,35274
